match_type,nct_id,pmid,doi,article_title
nct_in_article,NCT04657484,34887325,10.1183/13993003.02930-2021,"High-dose versus low-dose prednisolone in symptomatic patients with post-COVID-19 diffuse parenchymal lung abnormalities: an open-label, randomised trial (the COLDSTER trial)."
nct_in_article,NCT05035628,35409815,10.3390/ijerph19074133,Cardiopulmonary Rehabilitation in Long-COVID-19 Patients with Persistent Breathlessness and Fatigue: The COVID-Rehab Study.
nct_in_article,NCT03674541,35526605,10.1016/j.chest.2022.04.146,"Neurovascular Dysregulation and Acute Exercise Intolerance in Myalgic Encephalomyelitis/Chronic Fatigue Syndrome: A Randomized, Placebo-Controlled Trial of Pyridostigmine."
nct_in_article,NCT03356821,35568047,10.1016/s1474-4422(22)00117-x,"Feasibility and safety of intranasally administered mesenchymal stromal cells after perinatal arterial ischaemic stroke in the Netherlands (PASSIoN): a first-in-human, open-label intervention study."
nct_in_article,NCT04592354,35764955,10.1186/s12967-022-03488-3,Oxaloacetate Treatment For Mental And Physical Fatigue In Myalgic Encephalomyelitis/Chronic Fatigue Syndrome (ME/CFS) and Long-COVID fatigue patients: a non-randomized controlled clinical trial.
nct_in_article,NCT05279430,35790316,10.1136/bmjresp-2022-001255,Effect of a home-based inspiratory muscular training programme on functional capacity in patients with chronic COVID-19 after a hospital discharge: protocol for a randomised control trial (InsCOVID trial).
nct_in_article,NCT04794036,35853037,10.1371/journal.pone.0270766,Efficacy of an asynchronous telerehabilitation program in post-COVID-19 patients: A protocol for a pilot randomized controlled trial.
nct_in_article,NCT05119608,35911237,10.3389/fpsyt.2022.907215,Cognitive Behavioral Therapy and Acceptance and Commitment Therapy (CBT-ACT) vs. Standard Care After Critical Illness Due to COVID-19: Protocol for a Pilot Randomized Controlled Trial.
nct_in_article,NCT04742946,35954922,10.3390/ijerph19159566,The Effectiveness of a Four-Week Digital Physiotherapy Intervention to Improve Functional Capacity and Adherence to Intervention in Patients with Long COVID-19.
nct_in_article,NCT04900961,35971155,10.1186/s13063-022-06632-y,Prevention and early treatment of the long-term physical effects of COVID-19 in adults: design of a randomised controlled trial of resistance exercise-CISCO-21.
nct_in_article,NCT04841759,35980383,10.1080/09638288.2022.2111467,Post-COVID: effects of physical exercise on functional status and work ability in health care personnel.
nct_in_article,NCT05130736,36012033,10.3390/ijerph191610398,Application of an EMG-Rehabilitation Robot in Patients with Post-Coronavirus Fatigue Syndrome (COVID-19)-A Feasibility Study.
nct_in_article,NCT05019963,36056372,10.1186/s13063-022-06578-1,"Enhancing COVID Rehabilitation with Technology (ECORT): protocol for an open-label, single-site randomized controlled trial evaluating the effectiveness of electronic case management for individuals with persistent COVID-19 symptoms."
nct_in_article,NCT04828668,36252151,10.1089/can.2022.0135,"A Single-Blind, Randomized, Placebo Controlled Study to Evaluate the Benefits and Safety of Endourage Targeted Wellness Formula C Sublingual +Drops in People with Post-Acute Coronavirus Disease 2019 Syndrome."
nct_in_article,NCT04842448,36323462,10.1136/bmjopen-2022-061870,"Hyperbaric oxygen for treatment of long COVID-19 syndrome (HOT-LoCO): protocol for a randomised, placebo-controlled, double-blind, phase II clinical trial."
nct_in_article,NCT05178225,36339707,10.3389/fmolb.2022.1016352,Reduced platelet mitochondrial respiration and oxidative phosphorylation in patients with post COVID-19 syndrome are regenerated after spa rehabilitation and targeted ubiquinol therapy.
nct_in_article,NCT05228665,36410797,10.1136/bmjopen-2022-066044,HEART rate variability biofeedback for long COVID symptoms (HEARTLOC): protocol for a feasibility study.
nct_in_article,NCT05279430,36549786,10.1136/bmjresp-2022-001439,Effect of a home-based inspiratory muscle training programme on functional capacity in postdischarged patients with long COVID: the InsCOVID trial.
nct_in_article,NCT04510194,36597543,10.1101/2022.12.21.22283753,"Outpatient treatment of Covid-19 with metformin, ivermectin, and fluvoxamine and the development of Long Covid over 10-month follow-up."
nct_in_article,NCT04842448,36670365,10.1186/s12879-023-08002-8,"Hyperbaric oxygen therapy for long COVID (HOT-LoCO), an interim safety report from a randomised controlled trial."
nct_in_article,NCT04924881,36687403,10.3389/fmed.2022.990639,"Chinese medicine for residual symptoms of COVID-19 recovered patients (long COVID)-A double-blind, randomized, and placebo-controlled clinical trial protocol."
nct_in_article,NCT04532827,36687807,10.3389/fpsyg.2022.923532,A randomized controlled trial protocol for persistent physical symptoms associated with indoor environment or chronic fatigue: Effectiveness of video-based functional case conceptualization and web-program for improving quality of life.
nct_in_article,NCT05571852,36833793,10.3390/ijerph20043100,Personalized Computerized Training for Cognitive Dysfunction after COVID-19: A Before-and-After Feasibility Pilot Study.
nct_in_article,NCT05121740,36909731,10.3389/fcimb.2023.1097809,Plitidepsin in adult patients with COVID-19 requiring hospital admission: A long-term follow-up analysis.
nct_in_article,NCT03105713,36973815,10.1186/s40814-023-01277-3,Feasibility of implementing a surgical patient safety checklist: prospective cross-sectional evaluation.
nct_in_article,NCT05077241,37141260,10.1371/journal.pone.0279310,Efficacy of home-based inspiratory muscle training in patients post-covid-19: Protocol for a randomized clinical trial.
nct_in_article,NCT05152849,37223439,10.1016/j.eclinm.2023.101946,"Efficacy and tolerability of an endogenous metabolic modulator (AXA1125) in fatigue-predominant long COVID: a single-centre, double-blind, randomised controlled phase 2a pilot study."
nct_in_article,NCT05244044,37270195,10.1136/bmjopen-2022-071098,"Randomised, controlled, open-label pragmatic trial evaluating changes in functional exercise capacity after primary care PUlmonary REhabilitation in patients with long COVID: protocol of the PuRe-COVID trial in Belgium."
nct_in_article,NCT04510194,37302406,10.1016/s1473-3099(23)00299-2,"Outpatient treatment of COVID-19 and incidence of post-COVID-19 condition over 10 months (COVID-OUT): a multicentre, randomised, quadruple-blind, parallel-group, phase 3 trial."
nct_in_article,NCT04158427,37516837,10.1186/s12967-023-04227-y,"Randomized, double-blinded, placebo-controlled pilot study: efficacy of faecal microbiota transplantation on chronic fatigue syndrome."
nct_in_article,NCT05167227,37573421,10.1186/s13063-023-07550-3,"A technology-enabled multi-disciplinary team-based care model for the management of Long COVID and other fatiguing illnesses within a federally qualified health center: protocol for a two-arm, single-blind, pragmatic, quality improvement professional cluster randomized controlled trial."
nct_in_article,NCT04920916,37693596,10.1101/2023.09.01.23293947,Pulmonary function and survival one year after dupilumab treatment of acute moderate to severe COVID-19: A follow up study from a Phase IIa trial.
nct_in_article,NCT05254301,37759324,10.1186/s40814-023-01392-1,Functional performance recovery after individualized nutrition therapy combined with a patient-tailored physical rehabilitation program versus standard physiotherapy in patients with long COVID: a pilot study.
nct_in_article,NCT05238415,37792437,10.2196/49342,Longitudinal Evaluation of an Integrated Post-COVID-19/Long COVID Management Program Consisting of Digital Interventions and Personal Support: Randomized Controlled Trial.
nct_in_article,NCT05956405,37946190,10.1186/s12906-023-04240-0,Effectiveness of an amygdala and insula retraining program combined with mindfulness training to improve the quality of life in patients with long COVID: a randomized controlled trial protocol.
